Earnings discontinuity at zero — dashboard
"Do public companies report too few small losses and too many small profits? Net income scaled by beginning-of-year total assets, SEC 10-K filings, fiscal years 2016-2025. Every expected count, z and p on this sheet is a live formula."

SAMPLE
Firm-years after filters,31240
Distinct firms,5366
Fiscal years,2016-2025
Firm-years inside |ROA| <= 0.10,16018
Median beginning-of-year assets (USD),614990000
Median ROA,0.0
Share of firm-years reporting a loss,0.4997

"MAIN TEST — net income / beginning-of-year total assets (H1: deficit below zero, surplus above)"
bin width,N in window,below: count,below: expected,below: z,below: p,above: count,above: expected,above: z,above: p
0.0025,=C108,=C67,=D67,=E67,=F67,=C68,=D68,=E68,=F68
0.005,=C154,=C133,=D133,=E133,=F133,=C134,=D134,=E134,=F134
0.01,=C180,=C169,=D169,=E169,=F169,=C170,=D170,=E170,=F170

PLACEBO — cash flow from operations / beginning-of-year total assets (should show NO notch)
bin width,N in window,below: count,below: expected,below: z,below: p,above: count,above: expected,above: z,above: p
0.005,=C226,=C205,=D205,=E205,=F205,=C206,=D206,=E206,=F206

"HOW TO READ: |z| > 1.96 is significant at 5%. The hypothesis needs BOTH a negative z below zero AND a positive z above zero. Read the two together, never one alone."

"TEST — ROA, bin width 0.0025"
"bin width 0.0025; window |x| <= 0.10; zero on a bin boundary. Counts are pipeline values; expected, z and p are live formulas: expected = (count above + count below)/2, z = (count - expected)/sd with the binomial sd used in Burgstahler-Dichev."
bin_left,bin_right,count,expected,z,p_value,flag
-0.1000,-0.0975,80,,,,
-0.0975,-0.0950,87,=(C28+C30)/2,=(C29-D29)/SQRT(C29*(1-C29/$C$108)+0.25*(C28+C30)*(1-(C28+C30)/$C$108)),=2*(1-NORMSDIST(ABS(E29))),
-0.0950,-0.0925,69,=(C29+C31)/2,=(C30-D30)/SQRT(C30*(1-C30/$C$108)+0.25*(C29+C31)*(1-(C29+C31)/$C$108)),=2*(1-NORMSDIST(ABS(E30))),
-0.0925,-0.0900,90,=(C30+C32)/2,=(C31-D31)/SQRT(C31*(1-C31/$C$108)+0.25*(C30+C32)*(1-(C30+C32)/$C$108)),=2*(1-NORMSDIST(ABS(E31))),
-0.0900,-0.0875,76,=(C31+C33)/2,=(C32-D32)/SQRT(C32*(1-C32/$C$108)+0.25*(C31+C33)*(1-(C31+C33)/$C$108)),=2*(1-NORMSDIST(ABS(E32))),
-0.0875,-0.0850,88,=(C32+C34)/2,=(C33-D33)/SQRT(C33*(1-C33/$C$108)+0.25*(C32+C34)*(1-(C32+C34)/$C$108)),=2*(1-NORMSDIST(ABS(E33))),
-0.0850,-0.0825,102,=(C33+C35)/2,=(C34-D34)/SQRT(C34*(1-C34/$C$108)+0.25*(C33+C35)*(1-(C33+C35)/$C$108)),=2*(1-NORMSDIST(ABS(E34))),
-0.0825,-0.0800,80,=(C34+C36)/2,=(C35-D35)/SQRT(C35*(1-C35/$C$108)+0.25*(C34+C36)*(1-(C34+C36)/$C$108)),=2*(1-NORMSDIST(ABS(E35))),
-0.0800,-0.0775,98,=(C35+C37)/2,=(C36-D36)/SQRT(C36*(1-C36/$C$108)+0.25*(C35+C37)*(1-(C35+C37)/$C$108)),=2*(1-NORMSDIST(ABS(E36))),
